Registro;Frecuencia;Memoria;Observaciones;Localidad;Banda;Fecha;Exportar;Comprobado;Mhz;Khz;S;R;CTCSS;DCS;Repetidor;Offset;SECRA;Modo
55;163.3000;0;Seguridad EULEN;Jaén;2 m;28/07/2003;VERDADERO;VERDADERO;163;3000;0;0;;;FALSO;;No;FM
56;150.5500;0;DTMF;Jaén;2 m;28/07/2003;VERDADERO;FALSO;150;5500;0;0;;;FALSO;;No;FM
57;162.0250;0;N/A;N/A;2 m;28/07/2003;VERDADERO;FALSO;162;0250;0;0;;;FALSO;;No;FM
58;146.6250;37;Repetidor REMER Oficial;N/A;2 m;29/07/2003;VERDADERO;VERDADERO;146;6250;0;0;;;FALSO;;No;FM
59;153.8850;0;Aviones (Entra muy bajo);N/A;2 m;29/07/2003;VERDADERO;FALSO;153;8850;0;0;;;FALSO;;No;FM
60;457.8250;26;RENFE;Linares;70 cm;30/07/2003;VERDADERO;VERDADERO;457;8250;0;0;;;FALSO;;No;FM
61;468.8750;0;Fuego (Por Confirmar);N/A;70 cm;30/07/2003;VERDADERO;FALSO;468;8750;0;0;;;FALSO;;No;FM
62;463.3375;0;Fuegos (Por Confirmar);N/A;70 cm;30/07/2003;VERDADERO;FALSO;463;3375;0;0;;;FALSO;;No;FM
63;459.8125;0;Forestales;N/A;70 cm;30/07/2003;VERDADERO;FALSO;459;8125;0;0;;;FALSO;;No;FM
64;157.6500;0;N/A;N/A;2 m;04/08/2003;VERDADERO;FALSO;157;6500;0;0;;;FALSO;;No;FM
65;165.5750;0;N/A;N/A;2 m;04/08/2003;VERDADERO;FALSO;165;5750;0;0;;;FALSO;;No;FM
66;154.3250;0;Servicio de Transporte;N/A;2 m;04/08/2003;VERDADERO;FALSO;154;3250;0;0;;;FALSO;;No;FM
67;171.6750;0;Usan repetidor. Posible Sevillana;N/A;2 m;04/08/2003;VERDADERO;FALSO;171;6750;0;0;;;FALSO;;No;FM
68;163.4350;0;Ambulancias Privadas;N/A;2 m;04/08/2003;VERDADERO;FALSO;163;4350;0;0;;;FALSO;;No;FM
69;152.7750;0;Transportes;N/A;2 m;05/08/2003;VERDADERO;FALSO;152;7750;0;0;;;FALSO;;No;FM
70;173.2000;0;Señal Baja.;N/A;2 m;05/08/2003;VERDADERO;FALSO;173;2000;0;0;;;FALSO;;No;FM
71;151.8000;0;Camioneros, transportistas, etc;N/A;2 m;05/08/2003;VERDADERO;FALSO;151;8000;0;0;;;FALSO;;No;FM
72;155.8500;0;Empresa de Transporte, camioneros;N/A;2 m;05/08/2003;VERDADERO;FALSO;155;8500;0;0;;;FALSO;;No;FM
73;161.6000;0;S:10 R:5;N/A;2 m;05/08/2003;VERDADERO;FALSO;161;6000;0;0;;;FALSO;;No;FM
